"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Month","Percenttot","Window","MonthName"
"52","April","Confluence","Morone saxatilis",7.989608348,0,1.728683833,1,1.153633186,26.39358698,4,3.0770143,"Off","Apr"
"53","May","Confluence","Morone saxatilis",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"54","June","Confluence","Morone saxatilis",NA,NA,NA,1,NA,NA,6,1.3597443,"Off","Jun"
"55","July","Confluence","Morone saxatilis",24.05614943,-0.048851508,3.734757673,1,13.080994,39.5976082,7,27.5832849,"Key","Jul"
"56","August","Confluence","Morone saxatilis",11.98195818,0.04508283,2.190888639,1,4.32474027,26.47038151,8,14.0990299,"Key","Aug"
"57","September","Confluence","Morone saxatilis",5.148184162,-0.061558207,1.33586149,1,1.505624094,12.969759,9,7.9024997,"Key","Sep"
"58","October","Confluence","Morone saxatilis",8.814796039,0.003063122,1.823287577,1,3.790319187,18.95593209,10,4.3810954,"Key","Oct"
"59","November","Confluence","Morone saxatilis",16.49994882,-0.093424638,2.583461891,1,8.204090113,28.77021376,11,7.8906114,"Key","Nov"
"60","December","Confluence","Morone saxatilis",10.98834468,-0.024737301,2.039236565,1,5.025867093,21.83837518,12,10.4403852,"Key","Dec"
"61","January","Suisun","Morone saxatilis",18.10372311,-0.02550504,2.914815628,1,11.3529156,28.78219572,1,11.2852354,"Key","Jan"
"62","February","Suisun","Morone saxatilis",19.31482353,0.036488891,3.13092854,1,13.5324414,28.35429688,2,11.143532,"Key","Feb"
"63","March","Suisun","Morone saxatilis",21.1784951,0.091779447,3.401355195,1,14.27243509,31.00169053,3,11.6359771,"Key","Mar"
"64","April","Suisun","Morone saxatilis",17.91207111,-0.054229812,2.835018543,1,10.99888601,28.24380734,4,7.2905609,"Off","Apr"
"65","May","Suisun","Morone saxatilis",NA,NA,NA,1,NA,NA,5,0.0380754,"Off","May"
"66","June","Suisun","Morone saxatilis",NA,NA,NA,1,NA,NA,6,3.042486,"Off","Jun"
"67","July","Suisun","Morone saxatilis",16.48881481,-0.137520871,2.504285163,1,9.07636628,26.15792682,7,13.3077945,"Key","Jul"
"68","August","Suisun","Morone saxatilis",20.19580851,-0.066818905,3.119247894,1,13.53073956,29.65346749,8,10.9042255,"Key","Aug"
"69","September","Suisun","Morone saxatilis",22.1664346,-0.079075928,3.376052573,1,14.67936713,32.59455796,9,11.4923834,"Key","Sep"
"70","October","Suisun","Morone saxatilis",9.51392617,-0.02467194,1.871003616,1,4.841750206,18.04968643,10,4.6267424,"Off","Oct"
"71","November","Suisun","Morone saxatilis",7.006235228,-0.054644204,1.55309743,1,2.902687487,14.69468563,11,4.7989857,"Off","Nov"
"72","December","Suisun","Morone saxatilis",16.46072604,-0.064953034,2.629094549,1,10.25016388,25.69423568,12,10.4340017,"Off","Dec"
"73","January","Suisun","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,1,0,"Off","Jan"
"74","February","Suisun","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,2,0,"Off","Feb"
"75","March","Suisun","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,3,0,"Off","Mar"
"76","April","Suisun","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,4,0.0824628,"Off","Apr"
"77","May","Suisun","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,5,1.1913642,"Off","May"
"78","June","Suisun","Spirinchus thaleichthys",NA,NA,NA,1,NA,NA,6,4.3265642,"Off","Jun"
"79","July","Suisun","Spirinchus thaleichthys",13.57495942,-0.131076437,2.175272272,1,4.304347833,28.42568255,7,9.5793008,"Off","Jul"
"80","August","Suisun","Spirinchus thaleichthys",23.7977263,-0.022825665,3.754140853,1,13.86299084,38.52263946,8,19.1346745,"Key","Aug"
"81","September","Suisun","Spirinchus thaleichthys",14.34937327,-0.125734359,2.272099875,1,6.232055605,26.35868783,9,18.5531764,"Key","Sep"
"82","October","Suisun","Spirinchus thaleichthys",13.0472536,-0.163661186,2.066424159,1,1.665771162,33.77689563,10,7.0264636,"Key","Oct"
"83","November","Suisun","Spirinchus thaleichthys",19.42638084,-0.097223605,2.952914134,1,8.684529424,34.98348242,11,15.6412601,"Key","Nov"
"84","December","Suisun","Spirinchus thaleichthys",19.18706901,-0.146848795,2.824044326,1,9.134874997,32.44503561,12,24.4647335,"Key","Dec"
