"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Month","Percenttot","Window","MonthName"
"222","June","Suisun","Engraulis mordax",24.18008655,0.047513013,3.870235606,1,17.35700828,34.28032184,6,9.5899944,"Off","Jun"
"223","July","Suisun","Engraulis mordax",25.73998688,-0.006778132,4.11654992,1,18.49707227,37.00943466,7,14.6526409,"Key","Jul"
"224","August","Suisun","Engraulis mordax",26.35743901,0.06623943,4.242962536,1,18.6420056,37.32285849,8,25.2760233,"Key","Aug"
"225","September","Suisun","Engraulis mordax",21.90200581,0.041379273,3.509595633,1,15.20686888,32.10711648,9,10.797079,"Key","Sep"
"226","October","Suisun","Engraulis mordax",35.8464505,0.040869052,6.288150415,1,26.74029809,48.08025896,10,13.6036443,"Key","Oct"
"227","November","Suisun","Engraulis mordax",27.00453176,-0.016654278,4.315062456,1,19.79702031,37.89652497,11,11.1155704,"Key","Nov"
"228","December","Suisun","Engraulis mordax",22.45618116,0,3.594559175,1,11.79041296,38.85615189,12,2.7173295,"Off","Dec"
"229","January","Sanpablo","Engraulis mordax",32.42261383,0.021908913,5.455815086,1,26.13755497,41.93787546,1,0.6419044,"Off","Jan"
"230","February","Sanpablo","Engraulis mordax",21.95948547,0.17050345,3.521911669,1,16.74335277,28.11693363,2,0.3948751,"Off","Feb"
"231","March","Sanpablo","Engraulis mordax",28.91215773,0.074806546,4.719928278,1,22.94456818,37.3302094,3,0.8874961,"Off","Mar"
"232","April","Sanpablo","Engraulis mordax",42.51907381,0.053582152,8.339223622,1,37.25069213,50.10836834,4,1.4804126,"Off","Apr"
"233","May","Sanpablo","Engraulis mordax",40.57736924,0.210391998,7.698181854,1,34.98886566,46.58582415,5,6.8809561,"Off","May"
"234","June","Sanpablo","Engraulis mordax",33.83275308,0.101436041,5.787752977,1,28.79702514,40.52564251,6,15.9557965,"Key","Jun"
"235","July","Sanpablo","Engraulis mordax",29.47320483,-0.036808734,4.725944043,1,23.92961803,37.72545339,7,20.7012088,"Key","Jul"
"236","August","Sanpablo","Engraulis mordax",29.50534427,0.07393178,4.837403139,1,24.27036355,36.92032888,8,19.6712653,"Key","Aug"
"237","September","Sanpablo","Engraulis mordax",40.36689834,0.011398332,7.602788296,1,35.4381957,48.11133063,9,12.5161456,"Key","Sep"
"238","October","Sanpablo","Engraulis mordax",48.77556443,0.128734953,11.0257609,1,43.87744131,55.05997144,10,12.1034229,"Off","Oct"
"239","November","Sanpablo","Engraulis mordax",43.19323788,0.023149624,8.584740992,1,38.32444323,50.67795296,11,6.4874632,"Off","Nov"
"240","December","Sanpablo","Engraulis mordax",39.10780793,0.113860504,7.215111171,1,33.95583823,45.80520945,12,2.2790534,"Off","Dec"
"241","January","Central","Engraulis mordax",40.06108943,0.109392429,7.511684285,1,34.25300571,47.6520342,1,0.6815401,"Off","Jan"
"242","February","Central","Engraulis mordax",38.24369803,-0.034854175,6.821258418,1,31.98970602,47.34000062,2,1.039579,"Off","Feb"
"243","March","Central","Engraulis mordax",49.32331602,0.011064766,11.29358227,1,44.16390427,57.17006613,3,2.8791215,"Off","Mar"
"244","April","Central","Engraulis mordax",49.30622816,0.093527618,11.29205,1,44.41706065,55.92579206,4,3.9266146,"Off","Apr"
"245","May","Central","Engraulis mordax",50.2809423,0.020026316,11.80854744,1,45.09718105,57.98505053,5,9.9609386,"Off","May"
"246","June","Central","Engraulis mordax",46.66217747,0.004133716,10.00426432,1,42.02414833,54.00585719,6,10.9110768,"Key","Jun"
"247","July","Central","Engraulis mordax",50.13967031,-0.00239183,11.71750495,1,45.40430638,57.55445144,7,18.2670431,"Key","Jul"
"248","August","Central","Engraulis mordax",51.32690341,-0.029061383,12.24210869,1,46.27111446,58.79426648,8,16.0410572,"Key","Aug"
"249","September","Central","Engraulis mordax",54.24151768,-0.044775128,14.01081887,1,49.53070895,61.13349667,9,15.632182,"Key","Sep"
"250","October","Central","Engraulis mordax",60.61296098,-0.023546253,19.76077785,1,56.5612135,66.78465678,10,12.3195334,"Key","Oct"
"251","November","Central","Engraulis mordax",55.38042009,0.016402512,15.12496486,1,50.59549741,62.57880973,11,4.1842264,"Off","Nov"
"252","December","Central","Engraulis mordax",41.63348017,0.052503775,8.027184247,1,36.738791,48.7675113,12,4.1570874,"Off","Dec"
"253","January","South","Engraulis mordax",36.1164325,0.113983668,6.364794434,1,29.82527443,44.25636998,1,1.378528,"Off","Jan"
"254","February","South","Engraulis mordax",30.7956967,0.016415414,5.100930731,1,24.91497715,39.91865175,2,0.9462777,"Off","Feb"
"255","March","South","Engraulis mordax",45.13183168,-0.011704576,9.291465804,1,39.253323,53.9248178,3,4.089817,"Off","Mar"
"256","April","South","Engraulis mordax",43.85533666,-0.078677833,8.489247255,1,37.42021462,52.49629682,4,6.0131492,"Off","Apr"
"257","May","South","Engraulis mordax",41.0482599,0.09081338,7.83194894,1,34.97934636,49.10617051,5,14.360469,"Key","May"
"258","June","South","Engraulis mordax",41.45660379,0.124754081,7.974658401,1,35.98873145,48.38987009,6,15.3508052,"Key","Jun"
"259","July","South","Engraulis mordax",45.9346081,-0.031507006,9.535724361,1,40.22398296,54.28528246,7,18.5461589,"Key","Jul"
"260","August","South","Engraulis mordax",43.47897178,-0.035151339,8.538635168,1,37.48094207,52.16249989,8,15.6228531,"Key","Aug"
"261","September","South","Engraulis mordax",44.31979009,0.084347778,9.022085261,1,38.87174472,51.74447133,9,12.0563822,"Key","Sep"
"262","October","South","Engraulis mordax",41.00381321,0.054975827,7.813837693,1,35.63850554,48.72845567,10,7.6898332,"Off","Oct"
"263","November","South","Engraulis mordax",41.09420577,0.13633497,7.853806518,1,35.64877746,47.87065911,11,3.0069585,"Off","Nov"
"264","December","South","Engraulis mordax",33.90217811,0.021984088,5.800167642,1,28.49119962,42.2074406,12,0.9387682,"Off","Dec"
