"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Uup","Udown","Month","Percenttot","Window","MonthName"
"1","January","Delta","Dorosoma petenense",10.77336378,-0.011926015,2.032525262,1,7.029750027,17.44676349,0.203655454,-0.227507483,1,3.8079635,"Off","Jan"
"2","February","Delta","Dorosoma petenense",11.52256171,-0.000440351,2.13631824,1,2.839618984,30.02188856,0.584316669,-0.585197372,2,2.424885,"Off","Feb"
"3","March","Delta","Dorosoma petenense",0.241884702,-0.005362268,0.573777031,1,0.032288991,1.385658061,0.169603635,-0.180328171,3,0.6881547,"Off","Mar"
"4","April","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,4,0,"Off","Apr"
"5","May","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,5,0.1162282,"Off","May"
"6","June","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,6,0.3218921,"Off","Jun"
"7","July","Delta","Dorosoma petenense",29.42210135,0.006125333,4.819019099,1,20.37636961,42.64638777,0.502942716,-0.49069205,7,11.1401547,"Off","Jul"
"8","August","Delta","Dorosoma petenense",26.02855956,-0.009088309,4.160980674,1,20.48297569,34.87785678,0.293134276,-0.311310894,8,26.9961253,"Key","Aug"
"9","September","Delta","Dorosoma petenense",22.13502506,-0.045068114,3.445848302,1,16.4099537,30.6631161,0.229960034,-0.320096262,9,11.6852905,"Key","Sep"
"10","October","Delta","Dorosoma petenense",17.24993818,-0.043416235,2.768732772,1,12.40029365,24.65149909,0.187191364,-0.274023834,10,12.3619825,"Key","Oct"
"11","November","Delta","Dorosoma petenense",22.06555002,0.054536514,3.5347475,1,16.5088786,30.42876903,0.355408435,-0.246335408,11,19.4169503,"Key","Nov"
"12","December","Delta","Dorosoma petenense",20.90075517,0.047785558,3.359505993,1,15.81974586,28.69647227,0.323310767,-0.227739651,12,11.0403732,"Off","Dec"
"13","January","Confluence","Dorosoma petenense",6.143327453,0.029410107,1.515310827,1,2.096034505,15.61685136,0.374078067,-0.315257854,1,2.2303502,"Off","Jan"
"14","February","Confluence","Dorosoma petenense",14.27810848,-0.181716446,2.174220541,1,2.439154864,33.76655174,0.408205113,-0.771638004,2,0.9336576,"Off","Feb"
"15","March","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,3,0.1383559,"Off","Mar"
"16","April","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,4,0,"Off","Apr"
"17","May","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,5,0.0335072,"Off","May"
"18","June","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,6,0,"Off","Jun"
"19","July","Confluence","Dorosoma petenense",19.64540672,-0.144261868,2.888945966,1,5.279815539,40.20766759,0.522004354,-0.81052809,7,8.9691485,"Off","Jul"
"20","August","Confluence","Dorosoma petenense",28.58213142,-0.006251679,4.636977716,1,19.55466422,41.86210276,0.48109158,-0.493594939,8,46.4321558,"Key","Aug"
"21","September","Confluence","Dorosoma petenense",23.075594,-0.002558894,3.685795886,1,14.84240847,35.97826924,0.431934422,-0.43705221,9,10.2734537,"Off","Sep"
"22","October","Confluence","Dorosoma petenense",25.64003224,0.01720872,4.116160143,1,17.05156483,38.51499134,0.476368238,-0.441950797,10,7.3768535,"Off","Oct"
"23","November","Confluence","Dorosoma petenense",26.1757053,-0.085733538,3.994149344,1,16.43662762,39.29117877,0.366569609,-0.538036684,11,11.4968203,"Key","Nov"
"24","December","Confluence","Dorosoma petenense",28.77869747,0.001943388,4.692172879,1,19.80404623,42.04156968,0.492178555,-0.488291778,12,12.1156973,"Key","Dec"
"25","January","Suisun","Dorosoma petenense",4.690107419,-0.036617775,1.306838692,1,0.524388305,17.84405781,0.420737258,-0.493972808,1,3.9355755,"Off","Jan"
"26","February","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,2,2.1082131,"Off","Feb"
"27","March","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,3,0.3360828,"Off","Mar"
"28","April","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,4,0.3799427,"Off","Apr"
"29","May","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,5,0,"Off","May"
"30","June","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,6,0,"Off","Jun"
"31","July","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,7,0,"Off","Jul"
"32","August","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,8,7.1148767,"Off","Aug"
"33","September","Suisun","Dorosoma petenense",27.56743763,-0.06083906,4.301452106,1,10.83574266,48.91551959,0.752151743,-0.873829863,9,12.3709069,"Off","Sep"
"34","October","Suisun","Dorosoma petenense",24.6227723,0.046889716,3.943592104,1,9.78865722,45.23984824,0.825327811,-0.731548378,10,20.1453415,"Key","Oct"
"35","November","Suisun","Dorosoma petenense",17.42810772,-0.007969964,2.857683177,1,5.588371748,37.65521145,0.654681445,-0.670621373,11,25.3071175,"Key","Nov"
"36","December","Suisun","Dorosoma petenense",24.00782432,-0.068804544,3.680457518,1,8.272821704,45.55938043,0.698721948,-0.836331037,12,28.3019432,"Key","Dec"
"37","January","Delta","Morone saxatilis",10.33161262,0.035045571,1.997786071,1,4.246598047,22.29726867,0.434900048,-0.364808906,1,11.860181,"Key","Jan"
"38","February","Delta","Morone saxatilis",8.662622314,-0.032613609,1.764665933,1,2.991967802,20.33879413,0.343188076,-0.408415294,2,9.614518,"Key","Feb"
"39","March","Delta","Morone saxatilis",5.375435118,-0.09786818,1.325107449,1,0.477195269,19.26430298,0.362672521,-0.558408881,3,4.6942819,"Off","Mar"
"40","April","Delta","Morone saxatilis",0.589941208,0.069211625,0.696494478,1,0.09304706,2.772752972,0.300536282,-0.162113033,4,1.0809815,"Off","Apr"
"41","May","Delta","Morone saxatilis",5.132422249,0.055767524,1.39501143,1,0.895857965,17.5646666,0.518752576,-0.407217528,5,0,"Off","May"
"42","June","Delta","Morone saxatilis",19.75881469,0.07799902,3.194142643,1,7.15109925,39.25305363,0.778574996,-0.622576955,6,6.2043027,"Off","Jun"
"43","July","Delta","Morone saxatilis",5.296373633,-0.057210804,1.357300028,1,1.371520195,14.42851938,0.265713713,-0.38013532,7,15.3309661,"Key","Jul"
"44","August","Delta","Morone saxatilis",5.521703711,-0.058742829,1.381545952,1,1.453229794,14.83795026,0.267053178,-0.384538835,8,10.8821759,"Key","Aug"
"45","September","Delta","Morone saxatilis",14.61045857,-3.22e-17,2.50982553,1,6.880290567,28.51904151,0.439121656,-0.439121656,9,14.5076181,"Key","Sep"
"46","October","Delta","Morone saxatilis",7.928029024,-0.026982156,1.688901335,1,2.74110557,18.93848268,0.333235693,-0.387200004,10,10.0164785,"Key","Oct"
"47","November","Delta","Morone saxatilis",10.277401,-0.077892253,1.885343653,1,3.545403184,22.5016665,0.302698604,-0.458483109,11,7.637675,"Off","Nov"
"48","December","Delta","Morone saxatilis",7.718247249,0.049847179,1.696910553,1,2.882226025,18.03637567,0.418363687,-0.31866933,12,8.1708212,"Off","Dec"
"49","January","Confluence","Morone saxatilis",8.789677459,2.85873535455173e-17,1.820408484,1,4.173532692,18.21649232,0.309507435,-0.309507435,1,10.1298346,"Key","Jan"
"50","February","Confluence","Morone saxatilis",8.186624336,0.027821535,1.751081888,1,3.854066733,16.87866218,0.331378281,-0.275735211,2,7.7939351,"Off","Feb"
"51","March","Confluence","Morone saxatilis",2.150281152,1.71331079182274e-17,1.00308856,1,0.460605094,7.94430587,0.280426912,-0.280426912,3,5.3425652,"Off","Mar"
"52","April","Confluence","Morone saxatilis",2.604858117,-0.031137852,1.045557372,1,0.517974064,9.02831581,0.255163887,-0.31743959,4,3.0770143,"Off","Apr"
"53","May","Confluence","Morone saxatilis",4.422062662,1.38302935772209e-17,1.309719365,1,0.61722688,16.97584476,0.448608204,-0.448608204,5,0,"Off","May"
"54","June","Confluence","Morone saxatilis",NA,NA,NA,1,NA,NA,NA,NA,6,1.3597443,"Off","Jun"
"55","July","Confluence","Morone saxatilis",13.70988178,-0.040469468,2.333988741,1,7.110299382,24.82364376,0.305284233,-0.386223169,7,27.5832849,"Key","Jul"
"56","August","Confluence","Morone saxatilis",12.41417065,0.004853017,2.242503546,1,6.644235974,23.06713596,0.34376274,-0.334056706,8,14.0990299,"Key","Aug"
"57","September","Confluence","Morone saxatilis",5.512236271,-0.059040106,1.380159155,1,1.927715442,12.91979101,0.206837674,-0.324917886,9,7.9024997,"Key","Sep"
"58","October","Confluence","Morone saxatilis",6.732814196,-0.018102768,1.563622538,1,2.843524745,14.93306795,0.264895267,-0.301100803,10,4.3810954,"Key","Oct"
"59","November","Confluence","Morone saxatilis",15.07239894,-0.092436633,2.411681693,1,7.50211247,26.52942466,0.259024619,-0.443897886,11,7.8906114,"Key","Nov"
"60","December","Confluence","Morone saxatilis",10.31981717,-0.026296171,1.960471302,1,4.931435529,20.33996559,0.292719837,-0.345312178,12,10.4403852,"Key","Dec"
"61","January","Suisun","Morone saxatilis",12.03670916,-0.002082819,2.194531651,1,8.148101469,19.05320998,0.221925617,-0.226091256,1,11.2852354,"Key","Jan"
"62","February","Suisun","Morone saxatilis",14.11277921,0.022845252,2.448174903,1,10.17059715,20.76846578,0.244164251,-0.198473747,2,11.143532,"Key","Feb"
"63","March","Suisun","Morone saxatilis",16.01812664,0.013350181,2.687884433,1,11.50312598,23.68070255,0.261262865,-0.234562502,3,11.6359771,"Key","Mar"
"64","April","Suisun","Morone saxatilis",14.66573649,-0.039533376,2.450821007,1,9.620620491,22.71524755,0.21099577,-0.290062523,4,7.2905609,"Off","Apr"
"65","May","Suisun","Morone saxatilis",0.304866786,-0.020185657,0.594362485,1,0.055549657,1.341251765,0.130917586,-0.171288901,5,0.0380754,"Off","May"
"66","June","Suisun","Morone saxatilis",4.782275072,-0.055001724,1.299822127,1,1.184166785,13.47110378,0.261011351,-0.371014799,6,3.042486,"Off","Jun"
"67","July","Suisun","Morone saxatilis",8.474097701,-0.064334304,1.704097277,1,4.832864084,14.28051545,0.129074508,-0.257743116,7,13.3077945,"Key","Jul"
"68","August","Suisun","Morone saxatilis",8.779346482,-0.051420655,1.754024168,1,5.17275782,14.69325115,0.144800963,-0.247642273,8,10.9042255,"Key","Aug"
"69","September","Suisun","Morone saxatilis",12.30407875,-0.059951772,2.139211082,1,7.791972745,19.22451776,0.156746718,-0.276650263,9,11.4923834,"Key","Sep"
"70","October","Suisun","Morone saxatilis",6.432412945,-0.022329258,1.52450862,1,3.723574597,11.47081446,0.160604565,-0.20526308,10,4.6267424,"Off","Oct"
"71","November","Suisun","Morone saxatilis",8.883630436,-0.068391215,1.744133412,1,4.85981123,15.35380612,0.143661974,-0.280444404,11,4.7989857,"Off","Nov"
"72","December","Suisun","Morone saxatilis",14.23497998,-0.006512281,2.452588657,1,9.570609337,22.36699353,0.249275151,-0.262299714,12,10.4340017,"Off","Dec"
"73","January","Suisun","Spirinchus thaleichthys",13.08679624,-0.117931526,2.140521133,1,5.765040093,24.19163331,0.220010032,-0.455873085,1,0,"Off","Jan"
"74","February","Suisun","Spirinchus thaleichthys",8.312352185,-0.107954045,1.633031825,1,2.999295707,17.51951483,0.18722068,-0.40312877,2,0,"Off","Feb"
"75","March","Suisun","Spirinchus thaleichthys",14.58982468,-0.088035679,2.361586278,1,7.093829649,26.15052307,0.266927865,-0.442999222,3,0,"Off","Mar"
"76","April","Suisun","Spirinchus thaleichthys",7.037299651,0.004251582,1.619241823,1,3.162563287,15.35727268,0.292238869,-0.283735704,4,0.0824628,"Off","Apr"
"77","May","Suisun","Spirinchus thaleichthys",5.22854755,0.010114328,1.407569172,1,2.15095122,12.31729422,0.278619301,-0.258390644,5,1.1913642,"Off","May"
"78","June","Suisun","Spirinchus thaleichthys",14.33122677,-0.195149437,2.158709068,1,2.480397605,33.45836154,0.380787781,-0.771086656,6,4.3265642,"Off","Jun"
"79","July","Suisun","Spirinchus thaleichthys",18.60845414,-0.091651112,2.855286758,1,10.1320411,30.82962806,0.290770409,-0.474072633,7,9.5793008,"Off","Jul"
"80","August","Suisun","Spirinchus thaleichthys",22.92457912,-0.155552594,3.318679431,1,12.7647065,35.7199777,0.256734852,-0.567840041,8,19.1346745,"Key","Aug"
"81","September","Suisun","Spirinchus thaleichthys",13.94489042,-0.109514858,2.251488123,1,6.531306268,25.08754912,0.230073106,-0.449102823,9,18.5531764,"Key","Sep"
"82","October","Suisun","Spirinchus thaleichthys",14.0550304,-0.145537462,2.206763575,1,6.227860346,25.20794313,0.190660722,-0.481735646,10,7.0264636,"Key","Oct"
"83","November","Suisun","Spirinchus thaleichthys",18.75196941,-0.102999802,2.852270947,1,10.10409285,30.99191036,0.279219705,-0.48521931,11,15.6412601,"Key","Nov"
"84","December","Suisun","Spirinchus thaleichthys",17.39780419,-0.136391003,2.617322873,1,8.548895013,29.59512406,0.237298151,-0.510080157,12,24.4647335,"Key","Dec"
